strat_point-target_point: [0, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [2, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [4, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [6, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [8, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [10, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [12, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [14, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [16, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [18, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [20, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [22, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [24, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [26, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [28, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [30, 30]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [1, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [3, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [5, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [7, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [9, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [11, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [13, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [15, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [17, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [19, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

strat_point-target_point: [21, 31]-[1, 1] open_list size: 0close_list size: 1 path_size: 0

