get_neighbors cost: 0.498216 ms 	 method: 32	
get_neighbors cost: 0.413713 ms 	 method: 32	
get_neighbors cost: 0.475295 ms 	 method: 32	
get_neighbors cost: 0.453224 ms 	 method: 32	
get_neighbors cost: 0.374662 ms 	 method: 32	
get_neighbors cost: 0.269671 ms 	 method: 32	
get_neighbors cost: 0.394247 ms 	 method: 32	
get_neighbors cost: 0.352542 ms 	 method: 32	
get_neighbors cost: 0.261456 ms 	 method: 32	
get_neighbors cost: 0.245336 ms 	 method: 32	
get_neighbors cost: 0.301288 ms 	 method: 32	
get_neighbors cost: 0.239415 ms 	 method: 32	
get_neighbors cost: 0.209511 ms 	 method: 32	
get_neighbors cost: 0.198276 ms 	 method: 32	
get_neighbors cost: 0.228622 ms 	 method: 32	
get_neighbors cost: 0.172562 ms 	 method: 32	
get_neighbors cost: 0.188165 ms 	 method: 32	
get_neighbors cost: 0.192815 ms 	 method: 32	
get_neighbors cost: 0.203378 ms 	 method: 32	
get_neighbors cost: 0.230566 ms 	 method: 32	
get_neighbors cost: 0.416309 ms 	 method: 32	
get_neighbors cost: 0.411458 ms 	 method: 32	
get_neighbors cost: 0.227484 ms 	 method: 32	
get_neighbors cost: 0.250461 ms 	 method: 32	
get_neighbors cost: 0.244719 ms 	 method: 32	
get_neighbors cost: 0.181139 ms 	 method: 32	
get_neighbors cost: 0.282706 ms 	 method: 32	
get_neighbors cost: 0.223636 ms 	 method: 32	
get_neighbors cost: 0.256513 ms 	 method: 32	
get_neighbors cost: 0.208455 ms 	 method: 32	
get_neighbors cost: 0.355891 ms 	 method: 32	
get_neighbors cost: 0.267632 ms 	 method: 32	
get_neighbors cost: 0.196937 ms 	 method: 32	
get_neighbors cost: 0.244007 ms 	 method: 32	
get_neighbors cost: 0.239449 ms 	 method: 32	
get_neighbors cost: 0.226093 ms 	 method: 32	
get_neighbors cost: 0.207537 ms 	 method: 32	
get_neighbors cost: 0.190013 ms 	 method: 32	
get_neighbors cost: 0.176508 ms 	 method: 32	
get_neighbors cost: 0.173262 ms 	 method: 32	
get_neighbors cost: 0.432435 ms 	 method: 32	
get_neighbors cost: 0.347587 ms 	 method: 32	
get_neighbors cost: 0.267698 ms 	 method: 32	
get_neighbors cost: 0.279359 ms 	 method: 32	
get_neighbors cost: 0.25261 ms 	 method: 32	
get_neighbors cost: 0.212085 ms 	 method: 32	
get_neighbors cost: 0.18839 ms 	 method: 32	
get_neighbors cost: 0.200734 ms 	 method: 32	
get_neighbors cost: 0.242882 ms 	 method: 32	
get_neighbors cost: 0.242441 ms 	 method: 32	
get_neighbors cost: 0.374338 ms 	 method: 32	
get_neighbors cost: 0.254916 ms 	 method: 32	
get_neighbors cost: 0.186107 ms 	 method: 32	
get_neighbors cost: 0.184143 ms 	 method: 32	
get_neighbors cost: 0.19817 ms 	 method: 32	
get_neighbors cost: 0.201436 ms 	 method: 32	
get_neighbors cost: 0.208449 ms 	 method: 32	
get_neighbors cost: 0.185606 ms 	 method: 32	
get_neighbors cost: 0.207747 ms 	 method: 32	
get_neighbors cost: 0.194522 ms 	 method: 32	
get_neighbors cost: 0.510112 ms 	 method: 32	
get_neighbors cost: 0.371383 ms 	 method: 32	
get_neighbors cost: 0.312793 ms 	 method: 32	
get_neighbors cost: 0.353249 ms 	 method: 32	
get_neighbors cost: 0.376232 ms 	 method: 32	
get_neighbors cost: 0.338382 ms 	 method: 32	
get_neighbors cost: 0.257601 ms 	 method: 32	
get_neighbors cost: 0.36422 ms 	 method: 32	
get_neighbors cost: 0.387563 ms 	 method: 32	
get_neighbors cost: 0.378797 ms 	 method: 32	
get_neighbors cost: 0.377767 ms 	 method: 32	
get_neighbors cost: 0.303418 ms 	 method: 32	
get_neighbors cost: 0.247573 ms 	 method: 32	
get_neighbors cost: 0.210303 ms 	 method: 32	
get_neighbors cost: 0.227725 ms 	 method: 32	
get_neighbors cost: 0.21416 ms 	 method: 32	
get_neighbors cost: 0.171621 ms 	 method: 32	
get_neighbors cost: 0.212217 ms 	 method: 32	
get_neighbors cost: 0.217266 ms 	 method: 32	
get_neighbors cost: 0.204392 ms 	 method: 32	
get_neighbors cost: 0.349016 ms 	 method: 32	
get_neighbors cost: 0.300294 ms 	 method: 32	
get_neighbors cost: 0.25017 ms 	 method: 32	
get_neighbors cost: 0.281078 ms 	 method: 32	
get_neighbors cost: 0.323668 ms 	 method: 32	
get_neighbors cost: 0.305264 ms 	 method: 32	
get_neighbors cost: 0.176041 ms 	 method: 32	
get_neighbors cost: 0.193543 ms 	 method: 32	
get_neighbors cost: 0.211177 ms 	 method: 32	
get_neighbors cost: 0.29796 ms 	 method: 32	
